node,node_bef_goal,path,path_len,time
3442,2341,U-R-,4,0.0
3443,2341,RDL-,4,0.00999999046326
3444,2341,RDL-,4,0.00999999046326
4000,1420,L-D,3,0.0
4001,1420,DUD,3,0.00999999046326
4002,2341,UUD-,4,0.0
4003,1420,RULUD,5,0.0299999713898
4004,1420,LUD,3,0.0
4010,2341,LRR-,4,0.00999999046326
4011,1420,ULRD,4,0.0
4012,1013,UDLL,4,0.00999999046326
4013,2341,LRR-,4,0.00999999046326
4014,1420,-DUD,4,0.0199999809265
4020,2341,DD-R-,5,0.0299999713898
4021,1420,U-LUD,5,0.0299999713898
4022,1013,DLUL,4,0.00999999046326
4023,2341,RDRL-,5,0.0299999713898
4024,1420,-D-D,4,0.00999999046326
4030,1420,UDRDD,5,0.0199999809265
4031,1420,UDRDD,5,0.0200002193451
4032,1013,LDUL,4,0.0199999809265
4033,1420,UDRDD,5,0.0199999809265
4034,1013,L-UL,4,0.00999999046326
4040,2341,DD-R-,5,0.0299999713898
4041,1420,R-RDD,5,0.0299999713898
4042,1013,UL,2,0.00999999046326
4043,1420,UD-DD,5,0.0239999294281
4044,1013,UD-L,4,0.00600004196167
4100,1420,UL-DD,5,0.0220000743866
4101,1013,UL-L,4,0.0
4102,1420,DDUD,4,0.00999999046326
4103,1420,DD-D,4,0.00999999046326
4104,1420,LUD,3,0.00999999046326
4110,1420,DUDD,4,0.00999999046326
4111,2341,U--R-,5,0.0199999809265
4112,2341,U-DR-,5,0.0299999713898
4113,2341,-R-,3,0.0
4114,1420,UDD,3,0.0
4120,1420,UURRD,5,0.0199999809265
4121,1420,U-UDD,5,0.0299999713898
4122,2341,U-DR-,5,0.0199999809265
4123,2341,-R-,3,0.0
4124,1013,ULLL,4,0.0150001049042
4130,1420,ULRDD,5,0.0250000953674
4131,1420,RRDRD,5,0.0279998779297
4132,1420,ULRDD,5,0.0199999809265
4133,2341,-R-,3,0.00999999046326
4134,1420,ULRDD,5,0.0199999809265
4140,2341,UUL-,4,0.0
4141,2341,RLR-,4,0.00999999046326
4142,2341,RLR-,4,0.00999999046326
4143,2341,-R-,3,0.0
4144,2341,RLR-,4,0.00999999046326
4200,1420,UD,2,0.0
4201,1420,-D,2,0.0
4202,1420,DDUD,4,0.0100002288818
4203,1420,URRDD,5,0.0199999809265
4204,1420,URRDD,5,0.0199999809265
4210,1013,UR-L,4,0.00999999046326
4211,1420,UR-DD,5,0.0199999809265
4212,1420,UR-DD,5,0.0199999809265
4213,1420,UR-DD,5,0.0199999809265
4214,1420,UR-DD,5,0.0209999084473
4220,2341,-D-,3,0.0
4221,2341,RRLD-,5,0.039999961853
4222,1013,ULL-L,5,0.0200002193451
4223,1420,LUDD,4,0.0199999809265
4224,1420,UDRD,4,0.0
4230,1420,U-DUD,5,0.0299999713898
4231,2341,RR-,3,0.0
4232,2341,RR-,3,0.0
4233,2341,RR-,3,0.00999999046326
4234,2341,RR-,3,0.0
4240,1013,-UL,3,0.0
4241,1420,RRRDD,5,0.0299999713898
4242,1420,RRRDD,5,0.0299999713898
4243,1013,DUL,3,0.0
4244,1013,U-LLL,5,0.0299999713898
4300,1420,UD,2,0.0
4301,1013,-R-L,4,0.0199999809265
4302,1013,-R-L,4,0.00999999046326
4303,1420,LLUD,4,0.0199999809265
4304,1420,LL-D,4,0.00999999046326
4310,1013,UR-L,4,0.0
4311,1420,UR-DD,5,0.0199999809265
4312,1420,UR-DD,5,0.0300002098083
4313,1420,UR-DD,5,0.0199999809265
4314,2341,D-R-,4,0.00999999046326
4320,1420,UDLD,4,0.00999999046326
4321,1013,R--L,4,0.00999999046326
4322,1013,R--L,4,0.00999999046326
4323,1013,R--L,4,0.00999999046326
4324,1420,UDRD,4,0.0
4330,1420,RRRD,4,0.00999999046326
4331,1013,LUL,3,0.00999999046326
4332,2341,RRUR-,5,0.0299999713898
4333,2341,RRUR-,5,0.0299999713898
4334,2341,D-R-,4,0.00999999046326
4340,2341,UUL-,4,0.0
4341,2341,DUUL-,5,0.039999961853
4342,2341,DRLR-,5,0.0310001373291
4343,1013,U--DL,5,0.0299999713898
4344,2341,D-R-,4,0.00999999046326
4400,1420,-LUD,4,0.0199999809265
4401,1420,DUD,3,0.0
4402,1420,D-D,3,0.0
4403,1420,LLUD,4,0.00999999046326
4404,1013,UDR-L,5,0.0199999809265
4410,1420,--LUD,5,0.0499999523163
4411,1420,-DRD,4,0.0199999809265
4412,2341,L-R-,4,0.018000125885
4413,1420,RUUDD,5,0.0230000019073
4414,1420,UDD,3,0.0
4420,2341,RRL-,4,0.00999999046326
4421,1420,U-UDD,5,0.0199999809265
4422,2341,DRR-,4,0.0160000324249
4423,2341,DRR-,4,0.00999999046326
4424,1013,ULLL,4,0.0
4430,1420,ULRDD,5,0.0299999713898
4431,2341,D-D-,4,0.00999999046326
4432,2341,L-R-,4,0.00999999046326
4433,1420,ULRDD,5,0.0299999713898
4434,1420,ULRDD,5,0.0199999809265
4440,2341,UUL-,4,0.0
4441,1013,D-UL,4,0.0199999809265
4442,2341,L-R-,4,0.00999999046326
4443,1013,LULLL,5,0.0400002002716
4444,1013,DDUL,4,0.010999917984
